Data ; Dia ; Hora ;Codigo; Comodo ;Móvel;Ação; Watts ; Custo/Mês ; Métrica
01/jan; Terça ; 5:28 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
01/jan; Terça ; 6:28 ;1; Suíte ; Abajur ; Apagar ;;;
01/jan; Terça ; 6:43 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
01/jan; Terça ; 7:03 ;5; Cozinha ; Cafeteira ; Desligar ;;;
01/jan; Terça ; 9:27 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
01/jan; Terça ; 13:02 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
01/jan; Terça ; 18:02 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
01/jan; Terça ; 18:02 ;4; Sala ; Ventilador ; Desligar  ;;;
01/jan; Terça ; 18:03 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
01/jan; Terça ; 18:27 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
01/jan; Terça ; 22:02 ;3; Quarto ; Abajur ; Apagar ;;;
01/jan; Terça ; 23:04 ;1; Suíte ; Abajur ; Apagar ;;;
02/jan; Quarta ; 5:28 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
02/jan; Quarta ; 6:28 ;1; Suíte ; Abajur ; Apagar ;;;
02/jan; Quarta ; 6:42 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
02/jan; Quarta ; 7:02 ;5; Cozinha ; Cafeteira ; Desligar ;;;
02/jan; Quarta ; 9:29 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
02/jan; Quarta ; 13:04 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
02/jan; Quarta ; 18:04 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
02/jan; Quarta ; 18:04 ;4; Sala ; Ventilador ; Desligar  ;;;
02/jan; Quarta ; 18:05 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
02/jan; Quarta ; 18:29 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
02/jan; Quarta ; 22:04 ;3; Quarto ; Abajur ; Apagar ;;;
02/jan; Quarta ; 23:03 ;1; Suíte ; Abajur ; Apagar ;;;
03/jan; Quinta ; 5:27 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
03/jan; Quinta ; 6:27 ;1; Suíte ; Abajur ; Apagar ;;;
03/jan; Quinta ; 6:48 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
03/jan; Quinta ; 7:08 ;5; Cozinha ; Cafeteira ; Desligar ;;;
03/jan; Quinta ; 9:32 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
03/jan; Quinta ; 13:07 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
03/jan; Quinta ; 18:07 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
03/jan; Quinta ; 18:07 ;4; Sala ; Ventilador ; Desligar  ;;;
03/jan; Quinta ; 18:08 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
03/jan; Quinta ; 18:32 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
03/jan; Quinta ; 22:07 ;3; Quarto ; Abajur ; Apagar ;;;
03/jan; Quinta ; 23:08 ;1; Suíte ; Abajur ; Apagar ;;;
04/jan; Sexta ; 5:31 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
04/jan; Sexta ; 6:31 ;1; Suíte ; Abajur ; Apagar ;;;
04/jan; Sexta ; 6:50 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
04/jan; Sexta ; 7:10 ;5; Cozinha ; Cafeteira ; Desligar ;;;
04/jan; Sexta ; 9:32 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
04/jan; Sexta ; 13:07 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
04/jan; Sexta ; 18:07 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
04/jan; Sexta ; 18:07 ;4; Sala ; Ventilador ; Desligar  ;;;
04/jan; Sexta ; 18:08 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
04/jan; Sexta ; 18:32 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
04/jan; Sexta ; 22:07 ;3; Quarto ; Abajur ; Apagar ;;;
04/jan; Sexta ; 23:09 ;1; Suíte ; Abajur ; Apagar ;;;
05/jan; Sábado ; 5:31 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
05/jan; Sábado ; 6:31 ;1; Suíte ; Abajur ; Apagar ;;;
05/jan; Sábado ; 6:44 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
05/jan; Sábado ; 7:04 ;5; Cozinha ; Cafeteira ; Desligar ;;;
05/jan; Sábado ; 9:29 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
05/jan; Sábado ; 13:04 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
05/jan; Sábado ; 14:04 ;1; Suíte ; Janela ; Abrir ; 5W ;0,01; 1min/dia
05/jan; Sábado ; 16:04 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
05/jan; Sábado ; 16:14 ;5; Cozinha ; Cafeteira ; Desligar ;;;
05/jan; Sábado ; 18:03 ;4; Sala ; Ventilador ; Desligar  ;;;
05/jan; Sábado ; 18:08 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
05/jan; Sábado ; 18:09 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
05/jan; Sábado ; 18:28 ;1; Suíte ; Janela ; Fechar; 5W ;0,01; 1min/dia
05/jan; Sábado ; 18:31 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
05/jan; Sábado ; 22:28 ;3; Quarto ; Abajur ; Apagar ;;;
05/jan; Sábado ; 23:01 ;1; Suíte ; Abajur ; Apagar ;;;
06/jan; Domingo ; 8:28 ;1; Suíte ; Janela ; Abrir ; 5W ;0,01; 1min/dia
06/jan; Domingo ; 9:03 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
06/jan; Domingo ; 9:13 ;5; Cozinha ; Cafeteira ; Desligar ;;;
06/jan; Domingo ; 9:31 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
06/jan; Domingo ; 13:06 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
06/jan; Domingo ; 16:06 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
06/jan; Domingo ; 16:16 ;5; Cozinha ; Cafeteira ; Desligar ;;;
06/jan; Domingo ; 18:07 ;4; Sala ; Ventilador ; Desligar  ;;;
06/jan; Domingo ; 18:12 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
06/jan; Domingo ; 18:13 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
06/jan; Domingo ; 18:37 ;1; Suíte ; Janela ; Fechar; 5W ;0,01; 1min/dia
06/jan; Domingo ; 18:38 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
06/jan; Domingo ; 22:07 ;3; Quarto ; Abajur ; Apagar ;;;
06/jan; Domingo ; 23:08 ;1; Suíte ; Abajur ; Apagar ;;;
07/jan; Segunda ; 5:34 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
07/jan; Segunda ; 6:34 ;1; Suíte ; Abajur ; Apagar ;;;
07/jan; Segunda ; 6:50 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
07/jan; Segunda ; 7:10 ;5; Cozinha ; Cafeteira ; Desligar ;;;
07/jan; Segunda ; 9:34 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
07/jan; Segunda ; 13:09 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
07/jan; Segunda ; 18:09 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
07/jan; Segunda ; 18:09 ;4; Sala ; Ventilador ; Desligar  ;;;
07/jan; Segunda ; 18:10 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
07/jan; Segunda ; 18:34 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
07/jan; Segunda ; 22:09 ;3; Quarto ; Abajur ; Apagar ;;;
07/jan; Segunda ; 23:09 ;1; Suíte ; Abajur ; Apagar ;;;
08/jan; Terça ; 5:32 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
08/jan; Terça ; 6:32 ;1; Suíte ; Abajur ; Apagar ;;;
08/jan; Terça ; 6:43 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
08/jan; Terça ; 7:03 ;5; Cozinha ; Cafeteira ; Desligar ;;;
08/jan; Terça ; 9:28 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
08/jan; Terça ; 13:03 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
